l0_id,platform,content_id,public_url,local_path,raw_locator,locator_rule,content_sha256,coverage,status
"L0-ZH-001","知乎","614601101","https://zhuanlan.zhihu.com/p/614601101","G:\GDC\.deep-evidence\genshin\zhihu-l0-run2","G:\GDC\.deep-evidence\genshin\zhihu-crawl\zhihu\jsonl\search_contents_2026-07-29.jsonl#L1","segments.jsonl#ZH-article-614601101-Pxxxx","bba5aa133b05fc244c44a330cbf52b2ef614151d52aa24ef6e6b9b89e8db1ca0","20486 chars / 18 segments","PASS_FULL_TEXT"
"L0-ZH-002","知乎","503308045","https://zhuanlan.zhihu.com/p/503308045","G:\GDC\.deep-evidence\genshin\zhihu-l0-run2","G:\GDC\.deep-evidence\genshin\zhihu-crawl\zhihu\jsonl\search_contents_2026-07-29.jsonl#L2","segments.jsonl#ZH-article-503308045-Pxxxx","ba8fc6afe1fe0e07bea30fceeb1231eea0ad39eeee1ada9dd0f340c28cb2e97a","4129 chars / 4 segments","PASS_FULL_TEXT"
"L0-ZH-003","知乎","1987486743323247934","https://zhuanlan.zhihu.com/p/1987486743323247934","G:\GDC\.deep-evidence\genshin\zhihu-l0-run2","G:\GDC\.deep-evidence\genshin\zhihu-crawl\zhihu\jsonl\search_contents_2026-07-29.jsonl#L3","segments.jsonl#ZH-article-1987486743323247934-Pxxxx","d2c285b229a9bef4bc57948a4f4b6ba58a1cbed72f71ef4cc5afe2451fe903e6","4913 chars / 5 segments","PASS_FULL_TEXT"
"L0-ZH-004","知乎","2017947581301408716","https://zhuanlan.zhihu.com/p/2017947581301408716","G:\GDC\.deep-evidence\genshin\zhihu-l0-run2","G:\GDC\.deep-evidence\genshin\zhihu-crawl\zhihu\jsonl\search_contents_2026-07-29.jsonl#L4","segments.jsonl#ZH-article-2017947581301408716-Pxxxx","bda76fcfe82eb62ba648ceaee024736b558913adaad6e0fdd0b897d2ee34e1a0","2771 chars / 3 segments","PASS_FULL_TEXT"
